Category,Sub Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Insect,Tiger Moths, Erebidae,Utetheisa,pulchelloides,Heliotrope Moth ,Yes,Unknown,CNM,
Insect,Whites & Yellows,Pieridae,Belenois,java,Caper White,Yes,Unknown,CNM,
Mammal,Bat,Vespertilionidae,Nyctophilus,geoffroyi,Lesser Long-eared Bat ,Yes,Unknown,CNM,
Mammal,Kangaroo & Wallaby,Macropodidae,Macropus,giganteus,Eastern Grey Kangaroo,Yes,Unknown,Group,
Mammal,Kangaroo & Wallaby,Macropodidae,Macropus,robustus,Wallaroo ,Yes,Unknown,CNM,
Mammal,Kangaroo & Wallaby,Macropodidae,Macropus,rufogriseus,Red-necked Wallaby,Yes,Unknown,Group,"<a href=""news/Mar15.pdf"">March 2015</a>"
Mammal,Kangaroo & Wallaby,Macropodidae,Wallabia,bicolor,Swamp Wallaby ,Yes,Unknown,CNM,
Mammal,Monotreme,Tachyglossidae,Tachyglossus,aculeatus,Short-beaked echidna,Yes,Unknown,Group,
Mammal,Predator Placentals,Canidae,Canis,lupus,Dingo / Wild Dog ,Yes,Unknown,CNM,
Mammal,Predator Placentals,Canidae,Vulpes,vulpes,Red Fox ,No,Unknown,CNM,
Mammal,Rabbits & Hares,Leporidae,Lepus,capensis,Brown Hare ,No,Unknown,CNM,
Mammal,Rabbits & Hares,Leporidae,Oryctolagus,cuniculus,European Rabbit ,No,Unknown,CNM,
Mammal,Wombat / Koala,Vombatidae,Vombatus,ursinus,Common Wombat,Yes,Unknown,Group,"<a href=""news/Sept13.pdf"">September 2013</a>"
Other,Crustacean,Parastacidae,Cherax,destructor,Yabby,Yes,Unknown,Group,"<a href=""news/Mar13.pdf"">March 2013</a>"
Reptile,Dragon,Agamidae,Pogona,barbata,Eastern bearded dragon,Yes,Unknown,Group,
Reptile,Gecko,Gekkonidae,Christinus,marmoratus,Marbled Gecko,Yes,Unknown,Group,"<a href=""news/Apr12.pdf"">April 2012</a>"
Reptile,Legless Lizard,Pygopodidae,Aprasia,novaehollandiae,Pink-tailed worm-lizard,Yes,Unknown,Group,
Reptile,Legless Lizard,Pygopodidae,Delma,inornata,Olive Legless-lizard ,Yes,Unknown,CNM,
Reptile,Skink,Scincidae,Ctenotus,robustus,Eastern Striped Skink,Yes,Unknown,Group,
Reptile,Skink,Scincidae,Egernia,cunninghami,Cunningham's skink,Yes,Unknown,Group,"<a href=""news/Mar11.pdf"">March 2011</a>"
Reptile,Skink,Scincidae,Lampropholis,delicata,Delicate Skink ,Yes,Unknown,CNM,
Reptile,Skink,Scincidae,Morethia,boulengeri,Boulenger's Skink ,Yes,Unknown,CNM,
Reptile,Skink,Scincidae,Tiliqua,Scincoides,Eastern Blue Tongued Lizard,Yes,Unknown,Group,
Reptile,Snake,Elapidae,Pseudechis,porphyriacus,Red-Belly Black Snake,Yes,Unknown,Group,
Reptile,Snake,Elapidae,Pseudonaja,textilis,Easter Brown Snake,Yes,Unknown,Group,
Reptile,Snake,Typhlopidae,Ramphotyphlops,nigrescens,Blackish Blind Snake,Yes,Unknown,CNM,
